tunnelID,src,dst,bandwidth,priority,Affinity,delay,hop,explicitPath,antiFaultType,resourceReserveType,exclude_links,exclude_nodes,isNormalTunnel
0,0,1,0.000712,3,,10000,100,,,,,,1
1,0,2,0.007426,3,,10000,100,,,,,,1
2,0,3,0.40066,3,,10000,100,,,,,,1
3,0,4,0.0,3,,10000,100,,,,,,1
4,0,5,0.092328,3,,10000,100,,,,,,1
5,0,6,0.008344,3,,10000,100,,,,,,1
6,0,7,0.001544,3,,10000,100,,,,,,1
7,0,8,0.001017,3,,10000,100,,,,,,1
8,0,9,9.237498,3,,10000,100,,,,,,1
9,0,10,0.0158,3,,10000,100,,,,,,1
10,0,11,0.085337,3,,10000,100,,,,,,1
11,0,12,0.017123,3,,10000,100,,,,,,1
12,0,13,2.34702,3,,10000,100,,,,,,1
13,0,14,0.657616,3,,10000,100,,,,,,1
14,0,15,0.0,3,,10000,100,,,,,,1
15,0,16,137.323921,3,,10000,100,,,,,,1
16,0,17,0.0,3,,10000,100,,,,,,1
17,0,18,0.0,3,,10000,100,,,,,,1
18,0,19,0.004776,3,,10000,100,,,,,,1
19,0,20,0.003479,3,,10000,100,,,,,,1
20,0,21,5.773852,3,,10000,100,,,,,,1
21,0,22,0.236328,3,,10000,100,,,,,,1
22,0,23,0.004252,3,,10000,100,,,,,,1
23,0,24,12.965655,3,,10000,100,,,,,,1
24,0,25,0.008077,3,,10000,100,,,,,,1
25,0,26,0.0,3,,10000,100,,,,,,1
26,0,27,0.004112,3,,10000,100,,,,,,1
27,0,28,0.0,3,,10000,100,,,,,,1
28,0,29,0.865326,3,,10000,100,,,,,,1
29,0,30,0.0,3,,10000,100,,,,,,1
30,0,31,0.079748,3,,10000,100,,,,,,1
31,0,32,0.000102,3,,10000,100,,,,,,1
32,0,33,0.0,3,,10000,100,,,,,,1
33,0,34,0.062665,3,,10000,100,,,,,,1
34,0,35,0.154037,3,,10000,100,,,,,,1
35,0,36,0.0,3,,10000,100,,,,,,1
36,0,37,0.004323,3,,10000,100,,,,,,1
37,0,38,0.012581,3,,10000,100,,,,,,1
38,0,39,0.111407,3,,10000,100,,,,,,1
39,0,40,0.0,3,,10000,100,,,,,,1
40,0,41,0.155426,3,,10000,100,,,,,,1
41,0,42,0.002426,3,,10000,100,,,,,,1
42,0,43,0.164653,3,,10000,100,,,,,,1
43,0,44,0.000407,3,,10000,100,,,,,,1
44,0,45,73.531075,3,,10000,100,,,,,,1
45,0,46,0.000117,3,,10000,100,,,,,,1
46,0,47,0.0,3,,10000,100,,,,,,1
47,0,48,0.0,3,,10000,100,,,,,,1
48,0,49,2.060628,3,,10000,100,,,,,,1
